"Tipo de Patrón","Nombre del Patrón","Funcionalidad Implementada","Justificación, Beneficios y Limitaciones"
"Creacional","Factory Method","Generación de UI por Roles (UIFactoryProvider) y Pasarelas de Pago (PaymentFactory).","Justificación: El sistema necesita instanciar diferentes menús y lógicas de pago según el usuario o selección. Beneficios: Desacopla la creación del objeto de su uso, cumple el principio Open/Closed. Limitaciones: Genera proliferación de clases y archivos."
"Creacional","Builder","Constructor de Consultas de Cursos (CourseQueryBuilder en el Catálogo).","Justificación: Evitar métodos con parámetros masivos al aplicar 5+ filtros combinados de búsqueda. Beneficios: Permite un código de UI semántico y limpio mediante Method Chaining. Limitaciones: Añade sobrecarga de código si el objeto a crear es simple."
"Creacional","Singleton","Cliente de Backend (Supabase) y Estado Global (Zustand).","Justificación: Es imperativo evitar instanciar múltiples pools de conexiones HTTP o desincronizar la sesión. Beneficios: Garantiza una instancia única y un punto de acceso controlado a nivel de toda la app. Limitaciones: Actúa como variable global que puede dificultar las pruebas unitarias aisladas."
"Estructural","Bridge","Exportación de Reportes (reportBridge.ts) y Notificaciones (notificationBridge).","Justificación: Prevenir una explosión de clases al tener dos dimensiones dinámicas (Qué es el reporte vs En qué formato se descarga). Beneficios: Separa permanentemente la abstracción de la implementación. Limitaciones: Curva de aprendizaje alta y complejidad estructural al inicio."
"Estructural","Proxy","Seguridad, Caché de Dashboard y Auditoría de Inscripciones (proxies.ts).","Justificación: Requisito de interceptar llamadas a base de datos para validar roles (Admin), evitar lecturas redundantes (Caché) y loguear clics sin modificar servicios base. Beneficios: Añade comportamientos periféricos sin violar el principio SRP. Limitaciones: Indirección que puede despistar al hacer debugging."
"Estructural","Flyweight","Normalización de Entidades (EntityFlyweightFactory en el Catálogo).","Justificación: Evitar que el Garbage Collector colapse al parsear respuestas JSON con miles de referencias duplicadas al mismo Profesor o Categoría. Beneficios: Ahorro masivo de RAM y React DOM diffing instantáneo. Limitaciones: Riesgo alto si algún componente muta accidentalmente el estado compartido."
"Estructural","Composite","Gestión de Menús Recursivos y Categorías anidadas (MenuComposite).","Justificación: La interfaz de usuario necesita agrupar submenús dinámicos infinitos. Beneficios: El cliente (UI) trata objetos individuales (Link) y grupos (Submenú) bajo una misma interfaz abstracta. Limitaciones: Puede forzar a implementar operaciones sin sentido en componentes hoja."
"Estructural","Decorator","Motor de Precios Dinámico (PriceDecorator.js).","Justificación: Los precios mutan en runtime según se acumulen cupones de descuento e impuestos regionales. Beneficios: Otorga extrema flexibilidad para apilar modificadores sin usar herencia múltiple o ifs. Limitaciones: Genera un stack de llamadas profundo que complica rastrear el error exacto."
"Estructural","Facade","Ventanilla Única de Inscripciones (EnrollmentFacade).","Justificación: El componente Catalog.jsx contenía un orquestador altamente acoplado a pagos, redes y notificaciones. Beneficios: Aísla la UI, transformándola en un componente tonto, y centraliza el flujo transaccional. Limitaciones: Corre riesgo de volverse un God Object (Antipatrón) si absorbe responsabilidades de otros dominios."
"Estructural","Adapter","Compatibilidad con Pasarelas Externa (paymentAdapter.js).","Justificación: El sistema debe consumir la API de Stripe, pero necesita un contrato estándar para que la UI no conozca a Stripe. Beneficios: Hace al código inmune a cambios en la API del proveedor de pagos. Limitaciones: Requiere mapeo de campos constante (Overhead de traducción de DTOs)."
